,height,weight,age,gender,fitness_goal,activity,cooking_skill,nationality,user
0,175,50,47,Male,Lose Weight,Sedentary,intermediate,Mediterranean,0
1,148,55,31,Male,Keep Fit,Sedentary,intermediate,Spanish,1
2,127,110,29,Female,Lose Weight,Active,advanced,Swedish,2
3,142,80,35,Male,Lose Weight,HighActive,advanced,Japanese,3
4,139,55,56,Male,Keep Fit,LowActive,basic,Spanish,4
5,175,65,45,Male,Lose Weight,HighActive,advanced,French,5
6,154,90,21,Female,Keep Fit,HighActive,intermediate,Japanese,6
7,136,110,49,Female,Build Muscle,Sedentary,intermediate,Japanese,7
8,178,50,54,Male,Lose Weight,Active,advanced,Chinese,8
9,136,70,40,Female,Lose Weight,Active,advanced,Greek,9
10,133,40,32,Female,Build Muscle,Sedentary,intermediate,Chinese,10
11,154,85,27,Female,Keep Fit,LowActive,advanced,Moroccan,11
12,148,70,48,Male,Keep Fit,HighActive,intermediate,Hungarian,12
13,178,80,24,Male,Keep Fit,Active,advanced,Mexican,13
14,172,85,33,Male,Build Muscle,Active,advanced,Italian,14
15,190,50,24,Female,Build Muscle,Sedentary,advanced,Italian,15
16,187,100,43,Female,Lose Weight,HighActive,basic,American,16
17,172,100,38,Male,Lose Weight,Sedentary,intermediate,Southwestern,17
18,124,70,21,Male,Build Muscle,Sedentary,basic,American,18
19,169,65,27,Female,Lose Weight,Active,advanced,Moroccan,19
20,124,50,35,Female,Build Muscle,HighActive,advanced,Moroccan,20
21,145,65,46,Female,Keep Fit,HighActive,intermediate,Moroccan,21
22,139,110,60,Female,Lose Weight,LowActive,basic,Hungarian,22
23,145,55,54,Male,Build Muscle,HighActive,intermediate,Southwestern,23
24,178,65,53,Female,Build Muscle,Sedentary,advanced,Moroccan,24
25,121,60,59,Male,Keep Fit,LowActive,intermediate,Moroccan,25
26,133,75,59,Female,Keep Fit,LowActive,advanced,Mexican,26
27,160,40,46,Female,Lose Weight,HighActive,intermediate,German,27
28,130,110,36,Female,Keep Fit,HighActive,basic,English,28
29,121,95,27,Female,Lose Weight,Active,advanced,American,29
30,190,105,38,Female,Build Muscle,HighActive,advanced,Irish,30
31,163,110,47,Female,Lose Weight,Active,basic,Spanish,31
